Timestamp,City,Temperature,Humidity,Pressure,Wind Speed,Weather,Description
2025-09-28T19:03:35.264Z,Delhi,31.8,55,1005,3.68,Clear,"clear sky"
2025-09-28T19:03:35.607Z,Mumbai,26.06,83,1005,11.6,Clouds,"overcast clouds"
2025-09-28T19:03:35.939Z,Chennai,29.34,63,1006,4.46,Clouds,"broken clouds"
2025-09-28T19:03:36.311Z,Kolkata,26.6,82,1006,1.73,Clouds,"overcast clouds"
2025-09-28T19:03:36.628Z,Bengaluru,20.18,89,1011,5.2,Clouds,"overcast clouds"
2025-09-28T19:03:36.939Z,Hyderabad,21.67,92,1007,4.84,Clouds,"few clouds"
2025-09-28T19:03:37.277Z,Pune,21.39,94,1006,2.91,Clouds,"overcast clouds"
2025-09-28T19:03:37.638Z,Ahmedabad,27.39,86,1001,3.88,Clouds,"overcast clouds"
2025-09-28T19:03:37.987Z,Jaipur,27.12,71,1005,3.73,Clouds,"overcast clouds"
2025-09-28T19:03:38.407Z,Lucknow,27.37,78,1006,2.58,Clouds,"broken clouds"
2025-09-28T19:03:38.735Z,New Delhi,31.56,56,1005,3.7,Clear,"clear sky"
2025-09-28T19:03:39.059Z,Surat,24.83,95,1002,2.84,Clouds,"overcast clouds"
2025-09-28T19:03:39.400Z,Kanpur,27.34,76,1005,2.75,Clouds,"overcast clouds"
2025-09-28T19:03:39.725Z,Nagpur,22.43,97,1005,2.52,Clouds,"scattered clouds"
2025-09-28T19:03:40.076Z,Indore,22.66,97,1004,4.64,Clouds,"overcast clouds"
2025-09-28T19:28:51.083Z,Delhi,31.06,57,1006,3.68,Clear,"clear sky"
2025-09-28T19:28:51.428Z,Mumbai,26.34,84,1004,11.6,Clouds,"overcast clouds"
2025-09-28T19:28:51.761Z,Chennai,28.92,70,1006,4.46,Clouds,"broken clouds"
2025-09-28T19:28:52.079Z,Kolkata,26.71,82,1006,1.73,Clouds,"overcast clouds"
2025-09-28T19:28:52.369Z,Bengaluru,20.42,90,1011,5.2,Clouds,"overcast clouds"
2025-09-28T19:28:52.695Z,Hyderabad,21.98,99,1009,4.84,Clouds,"few clouds"
2025-09-28T19:28:53.035Z,Pune,21.84,95,1006,2.91,Clouds,"overcast clouds"
2025-09-28T19:28:53.380Z,Ahmedabad,27.09,90,1001,3.88,Clouds,"overcast clouds"
2025-09-28T19:28:53.697Z,Jaipur,27.2,69,1006,3.73,Clouds,"overcast clouds"
2025-09-28T19:28:54.043Z,Lucknow,27.15,78,1006,2.58,Clouds,"broken clouds"
2025-09-28T19:28:54.331Z,New Delhi,30.96,58,1006,3.7,Clear,"clear sky"
2025-09-28T19:28:54.670Z,Surat,24.51,96,1001,2.84,Clouds,"overcast clouds"
2025-09-28T19:28:55.009Z,Kanpur,27.03,75,1006,2.75,Clouds,"overcast clouds"
2025-09-28T19:28:55.289Z,Nagpur,22.5,97,1005,2.52,Clouds,"scattered clouds"
2025-09-28T19:28:55.595Z,Indore,22.87,97,1004,4.64,Clouds,"overcast clouds"
2025-09-28T19:32:33.713Z,Delhi,31.06,57,1006,3.68,Clear,"clear sky"
2025-09-28T19:32:33.965Z,Mumbai,26.34,84,1004,11.6,Clouds,"overcast clouds"
2025-09-28T19:32:34.248Z,Chennai,28.91,70,1006,4.46,Clouds,"broken clouds"
2025-09-28T19:32:34.496Z,Kolkata,26.71,82,1006,1.73,Clouds,"overcast clouds"
2025-09-28T19:32:34.801Z,Bengaluru,20.42,90,1011,5.2,Clouds,"overcast clouds"
2025-09-28T19:32:35.087Z,Hyderabad,21.98,99,1009,4.84,Clouds,"few clouds"
2025-09-28T19:32:35.362Z,Pune,21.84,95,1006,2.91,Clouds,"overcast clouds"
2025-09-28T19:32:35.652Z,Ahmedabad,27.09,90,1001,3.88,Clouds,"overcast clouds"
2025-09-28T19:32:35.939Z,Jaipur,27.2,69,1006,3.73,Clouds,"overcast clouds"
2025-09-28T19:32:36.214Z,Lucknow,27.15,78,1006,2.58,Clouds,"broken clouds"
2025-09-28T19:32:36.468Z,New Delhi,30.96,58,1006,3.7,Clear,"clear sky"
2025-09-28T19:32:36.729Z,Surat,24.51,96,1001,2.84,Clouds,"overcast clouds"
2025-09-28T19:32:36.987Z,Kanpur,27.03,75,1006,2.75,Clouds,"overcast clouds"
2025-09-28T19:32:37.267Z,Nagpur,22.5,97,1005,2.52,Clouds,"scattered clouds"
2025-09-28T19:32:37.527Z,Indore,22.87,97,1004,4.64,Clouds,"overcast clouds"
